             baleine	             baleine	               balEn	       NOM	                    	         f	          	         2	                           mélancolique	                         cétacé;géant	mer;océan;profondeur;chant;abysse;plonger;gigantesque	                                  animal
            cétacé	            cétacé	              setase	       NOM	                    	         m	          	         3	                            scientifique	                                baleine;mammifère	          aquatique;océan;mer;intelligence;chasse	                                     animal;chasse
              géant	              géant	                 Ze@	       ADJ	                    	         m	          	         2	                                 épique	   colossal;immense;gigantesque;titanesque;monstre	         créature;force;puissance;taille;grandeur	                                           épique
              géant	              géant	                 Ze@	       NOM	                    	         m	          	         2	                                 épique	                 colosse;titan;champion;mastodonte	   puissance;écraser;ancien;disparu;mythique;dieu	                           légendaire;folklorique
                 mer	                 mer	                 mER	       NOM	                    	         f	          	         1	           lyrique;mélancolique;épique	                                       eaux;océan	navigation;tempête;marin;aventure;inconnu;mystère;vagues	                   navigation;folklorique;aventure
              océan	              océan	                ose@	       NOM	                    	         m	          	         3	            épique;mélancolique;neutre	                                  mer;flots;infini	                       bleu;horizon;sel;immensité	                            navigation;géographie
          profondeur	          profondeur	           pRof§d9R	       NOM	                    	         f	          	         3	                                  neutre	                                     abîme;abysse	                        étendue;distance;mystère	                                                  
               chant	               chant	                  S@	       NOM	                    	         m	          	         1	                   lyrique;mélancolique	            air;cantique;chanson;litanie;mélopée	        musique;chorale;chanson;couplet;poème;voix	                                               art
              abysse	              abysse	                abis	       NOM	                    	         m	          	         2	                         épique;lyrique	                                 profondeur;abîme	        éternité;lointain;inaccessible;profondeur	                                                  
             plonger	             plonger	              pl§Ze	       VER	                inf;	          	          	         2	                                  neutre	                             descendre;précipiter	              baigner;eau;nage;silence;mer;poisson	                                            pêche
         gigantesque	         gigantesque	            Zig@tEsk	       ADJ	                    	          	          	         3	                                 épique	                                  imposant;immense	effrayant;peur;impressionant;pouvoir;domination;étendue	                                                  
          mammifère	          mammifère	             mamifER	       ADJ	                    	          	          	         3	                                  neutre	                            tétrapode;placentaire	poils;griffes;pelage;animal;lait;terrestre;carnivore;viande	                                            animal
          mammifère	          mammifère	             mamifER	       NOM	                    	         m	          	         3	                                  neutre	                                        tétrapode	    poils;griffes;carnivore;viande;squelette;dents	                                            animal
           aquatique	           aquatique	             akwatik	       ADJ	                    	          	          	         3	                                 lyrique	                        amphibie;marin;marécageux	    mer;eaux;lac;rivière;étang;roches;prédateur	                                                  
        intelligence	        intelligence	            5teliZ@s	       NOM	                    	         f	          	         4	                                  neutre	                      astuce;clairvoyance;sapience	faculté;abstraction;idée;compréhension;entendement;réflexion;cerveau	                                       psychologie
              chasse	              chasse	                 Sas	       NOM	                    	         f	          	         1	                                 épique	                                  battue;poursuite	   trappe;recherche;gibier;traque;mort;survie;duel	                                            chasse
            colossal	            colossal	             kolosal	       ADJ	                    	         m	          	         3	                                 épique	                                    immense;massif	                         force;puissance;démesure	                                légendaire;guerre
